"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00171739270403616,15,1663,4.01212856964567,"GO:0006357 Reg. of transcription by rna polymerase ii "," https://amigo.geneontology.org/amigo/term/GO:0006357","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00171739270403616,15,1745,3.82359301508353,"GO:0006366 Transcription by rna polymerase ii "," https://amigo.geneontology.org/amigo/term/GO:0006366","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00202829324186009,20,3162,2.81348083968828,"GO:0034654 Nucleobase-containing compound biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:0034654","ccnl1a mntb mafaa supv3l1 exosc6 hivep2a si:ch211-243j20.2 akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a poll rfx1b kdm1a"
0.00202829324186009,19,2930,2.88444201172001,"GO:0141187 Nucleic acid biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:0141187","ccnl1a mntb mafaa supv3l1 exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a poll rfx1b kdm1a"
0.00314548537884678,18,2781,2.87903767478781,"GO:0009889 Reg. of biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:0009889","ccnl1a mntb mafaa exosc6 hivep2a akirin1 crtc3 erlin1 tal2 zbtb46 barhl2 uncx kdm4c klf13 atf5a dnajb1a rfx1b kdm1a"
0.00372320423719679,18,2886,2.77429098183815,"GO:0032774 Rna biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:0032774","ccnl1a mntb mafaa supv3l1 exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a rfx1b kdm1a"
0.00372320423719679,13,1570,3.68315106357409,"GO:0140110 Transcription regulator activity "," https://amigo.geneontology.org/amigo/term/GO:0140110","mntb mafaa hivep2a akirin1 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00377897981537084,15,2114,3.15618250298995,"GO:2001141 Reg. of rna biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:2001141","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00377897981537084,15,2114,3.15618250298995,"GO:0006355 Reg. of dna-templated transcription "," https://amigo.geneontology.org/amigo/term/GO:0006355","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00387313476444658,21,3888,2.40253028185418,"GO:0006139 Nucleobase-containing compound metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0006139","ccnl1a mntb mafaa supv3l1 khk exosc6 hivep2a si:ch211-243j20.2 akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a poll rfx1b kdm1a"
0.00400918810511512,17,2712,2.78827155340346,"GO:0010468 Reg. of gene expression "," https://amigo.geneontology.org/amigo/term/GO:0010468","ccnl1a mntb mafaa exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx kdm4c klf13 atf5a dnajb1a rfx1b kdm1a"
0.00409487392096957,17,2747,2.75274570543509,"GO:0010556 Reg. of macromolecule biosynthetic proc. "," https://amigo.geneontology.org/amigo/term/GO:0010556","ccnl1a mntb mafaa exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx kdm4c klf13 atf5a dnajb1a rfx1b kdm1a"
0.00409487392096957,18,3044,2.63029033297796,"GO:0016070 Rna metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0016070","ccnl1a mntb mafaa supv3l1 exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a rfx1b kdm1a"
0.00439748893794024,18,3109,2.57529873708102,"GO:0019222 Reg. of metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0019222","ccnl1a mntb mafaa exosc6 hivep2a akirin1 crtc3 erlin1 tal2 zbtb46 barhl2 uncx kdm4c klf13 atf5a dnajb1a rfx1b kdm1a"
0.00439748893794024,15,2247,2.96936796231453,"GO:0051252 Reg. of rna metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0051252","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00439748893794024,15,2235,2.98531087754844,"GO:0006351 Dna-templated transcription "," https://amigo.geneontology.org/amigo/term/GO:0006351","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
0.00499582809800325,19,3460,2.44260551859527,"GO:0090304 Nucleic acid metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0090304","ccnl1a mntb mafaa supv3l1 exosc6 hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 tdrd3 atf5a dnajb1a poll rfx1b kdm1a"
0.0052402215410427,15,2311,2.88713535755982,"GO:0019219 Reg. of nucleobase-containing compound metabolic proc. "," https://amigo.geneontology.org/amigo/term/GO:0019219","ccnl1a mntb mafaa hivep2a akirin1 crtc3 tal2 zbtb46 barhl2 uncx klf13 atf5a dnajb1a rfx1b kdm1a"
