"","Pattern","LF","LM","SF","SM","POA_Raw","Vd_Raw","OT_Raw","POA_Per","Vd_Per","OT_Per"
"12","pattern6",1,1,2,2,441,31,451,55.4020100502513,1.97578075207138,45.4179254783484
"11","pattern5",1,1,2,1,36,138,353,4.52261306532663,8.79541108986616,35.5488418932528
"9","pattern3",1,2,1,1,148,349,40,18.5929648241206,22.2434671765456,4.0281973816717
"14","pattern8",1,2,2,2,124,35,112,15.5778894472362,2.23072020395156,11.2789526686808
"8","pattern2",1,1,1,2,20,123,5,2.51256281407035,7.83938814531549,0.503524672708963
"10","pattern4",1,2,1,2,16,856,4,2.01005025125628,54.5570427023582,0.40281973816717
"15","pattern9",1,2,1,3,NA,5,NA,NA,0.318674314850223,NA
"6","pattern14",1,3,2,3,1,NA,8,0.125628140703518,NA,0.80563947633434
"5","pattern13",1,3,2,2,1,1,NA,0.125628140703518,0.0637348629700446,NA
"2","pattern10",1,1,2,3,NA,2,2,NA,0.127469725940089,0.201409869083585
"7","pattern15",1,3,2,4,NA,NA,NA,NA,NA,NA
"13","pattern7",1,2,2,1,6,28,18,0.753768844221106,1.78457616316125,1.81268882175227
"3","pattern11",1,2,2,3,3,NA,NA,0.376884422110553,NA,NA
"4","pattern12",1,3,2,1,NA,1,NA,NA,0.0637348629700446,NA
"1","pattern1",1,1,1,1,12881,13304,14116,NA,NA,NA
