"","Pattern","Gene"
"1",2,"mettl1"
"2",2,"LOC102784720"
"3",2,"mrpl32"
"4",2,"LOC102784848"
"5",2,"plcd4b"
"6",3,"cmtm4"
"7",3,"slc5a7a"
"8",3,"kin"
"9",3,"LOC102780361"
"10",3,"zgc:92242"
"11",3,"nab2"
"12",3,"LOC102795529"
"13",3,"spry4"
"14",3,"eif2ak3"
"15",3,"cunh14orf28"
"16",3,"LOC102799854"
"17",3,"LOC102779150"
"18",3,"tfg"
"19",3,"LOC102796557"
"20",3,"lrrc8db"
"21",3,"prph2a"
"22",3,"dnajb12b"
"23",3,"hgs"
"24",3,"ier2a"
"25",3,"LOC102796880"
"26",3,"hsf1"
"27",3,"LOC102777087"
"28",3,"fndc3a"
"29",3,"nfil3"
"30",3,"hopx"
"31",3,"fam20cb"
"32",3,"timm50"
"33",3,"l3mbtl1b"
"34",3,"LOC102795118"
"35",3,"cd2bp2"
"36",3,"dio1"
"37",3,"ngly1"
"38",3,"dbpa"
"39",3,"LOC102780938"
"40",3,"fbxo8"
"41",3,"cnpy1"
"42",3,"zzef1"
"43",3,"cblc"
"44",3,"LOC102800257"
"45",3,"LOC102783199"
"46",4,"LOC102795913"
"47",4,"apeh"
"48",4,"dhx9"
"49",4,"LOC102779919"
"50",5,"LOC102786692"
"51",5,"gnb5b"
"52",5,"LOC102779778"
"53",5,"kif26ba"
"54",5,"crispld2"
"55",5,"copb1"
"56",5,"atic"
"57",5,"LOC102790408"
"58",5,"LOC102790984"
"59",5,"brd1a"
"60",5,"zbed4"
"61",5,"yaf2"
"62",5,"LOC102778547"
"63",5,"ucn3l"
"64",5,"ssbp1"
"65",5,"zgc:194209"
"66",5,"LOC102797395"
"67",5,"mbnl3"
"68",5,"rtn4rl2b"
"69",5,"LOC102778180"
"70",5,"LOC102780923"
"71",5,"LOC118454995"
"72",5,"LOC102793513"
"73",5,"LOC118455110"
"74",5,"tomm5"
"75",5,"si:ch211-203d1.3"
"76",5,"clk4a"
"77",5,"ogt.1"
"78",5,"slc25a46"
"79",5,"cfap53"
"80",5,"LOC102790993"
"81",5,"carmil2"
"82",5,"lrrk2"
"83",5,"pik3c2a"
"84",5,"si:dkey-82f1.1"
"85",5,"plxnb2b"
"86",5,"LOC102785931"
"87",5,"LOC102785066"
"88",5,"tgfa"
"89",5,"rbm5"
"90",5,"skib"
"91",5,"trim62.1"
"92",5,"LOC102780653"
"93",5,"LOC102791570"
"94",5,"LOC102799940"
"95",5,"sdccag8"
"96",5,"akt3a"
"97",5,"zbtb18"
"98",5,"LOC102781022"
"99",5,"zranb1b"
"100",5,"pax2a"
"101",5,"golga7bb"
"102",5,"cemip2"
"103",5,"pole"
"104",5,"ppfia4"
"105",5,"camk1b"
"106",5,"myorg"
"107",5,"zgc:92107"
"108",5,"LOC102779709"
"109",5,"gabra6b"
"110",5,"sh3pxd2b"
"111",5,"itchb"
"112",5,"csde1"
"113",5,"plekhm2"
"114",5,"cep104"
"115",5,"fam217b"
"116",5,"LOC118453873"
"117",5,"LOC102799284"
"118",5,"LOC102793035"
"119",5,"zdhhc22"
"120",5,"plk4"
"121",5,"LOC102789476"
"122",5,"disp2"
"123",5,"srsf11"
"124",5,"plk3"
"125",5,"LOC102781149"
"126",5,"LOC102790145"
"127",5,"LOC102793829"
"128",5,"LOC102777346"
"129",5,"si:dkey-162b23.4"
"130",5,"LOC102798515"
"131",5,"ube2o"
"132",5,"hepacam2"
"133",5,"poc1bl"
"134",5,"LOC102795450"
"135",5,"clk2a"
"136",5,"neurod1"
"137",5,"zic2a"
"138",5,"zic5"
"139",5,"zgc:162944"
"140",5,"phf11"
"141",5,"sox1a"
"142",5,"mitd1"
"143",5,"LOC102787853"
"144",5,"LOC102780205"
"145",5,"LOC102794322"
"146",5,"nme9"
"147",5,"march4"
"148",5,"LOC102781348"
"149",5,"fam163ba"
"150",5,"exd3"
"151",5,"rhof"
"152",5,"LOC102784710"
"153",5,"sgsm1b"
"154",5,"LOC102798911"
"155",5,"LOC102783875"
"156",5,"ciz1a"
"157",5,"brinp1"
"158",5,"klf4"
"159",5,"smad7"
"160",5,"LOC102788428"
"161",5,"csgalnact1a"
"162",5,"pidd1"
"163",5,"eps8l2"
"164",5,"tmem266"
"165",5,"shank3a"
"166",5,"LOC102796156"
"167",5,"LOC102789791"
"168",5,"nim1k"
"169",5,"ndnf"
"170",5,"chst7"
"171",5,"dot1l"
"172",5,"zbtb7a"
"173",5,"cyfip1"
"174",5,"ttyh2"
"175",5,"LOC102778505"
"176",5,"LOC102779355"
"177",5,"adrb1"
"178",5,"LOC102797351"
"179",5,"LOC102782732"
"180",5,"atad5a"
"181",5,"LOC102800167"
"182",5,"LOC102777365"
"183",5,"LOC102792270"
"184",5,"ptprfa"
"185",5,"LOC102776977"
"186",5,"LOC102784070"
"187",5,"ap1m1"
"188",5,"st6galnac3"
"189",5,"sdr39u1"
"190",5,"slc30a1a"
"191",5,"dusp10"
"192",5,"tmem151ba"
"193",5,"prox1a"
"194",5,"aox6"
"195",5,"ahr1b"
"196",5,"gpd2"
"197",5,"LOC102798147"
"198",5,"kif26bb"
"199",5,"atad2b"
"200",5,"pnpo"
"201",5,"rnf213b"
"202",5,"nt5e"
"203",5,"igf2r"
"204",5,"cx43.4"
"205",5,"LOC102798249"
"206",5,"ctdsp2"
"207",5,"kcng1"
"208",5,"syt6a"
"209",5,"nr4a1"
"210",5,"LOC102790283"
"211",5,"LOC102793667"
"212",5,"zgc:91910"
"213",5,"pde7a"
