"","Pattern","Gene"
"1",2,"LOC118455110"
"2",2,"sugp1"
"3",2,"dnajc3a"
"4",2,"b4galnt4a"
"5",2,"LOC102785594"
"6",2,"pde6gb"
"7",2,"snx14"
"8",2,"plod2"
"9",2,"asah1b"
"10",2,"LOC102780129"
"11",2,"mtmr9"
"12",2,"nudcd3"
"13",2,"LOC102787982"
"14",2,"LOC102797870"
"15",2,"rhpn1"
"16",2,"dkk3b"
"17",2,"LOC102787511"
"18",2,"dnajc6"
"19",2,"thbs3a"
"20",2,"LOC118453518"
"21",3,"ntrk3b"
"22",3,"ss18l2"
"23",3,"adcy7"
"24",3,"mafa"
"25",3,"nudt4b"
"26",3,"sema3aa"
"27",3,"LOC102797687"
"28",3,"arfgap3"
"29",3,"ptn"
"30",3,"LOC102783058"
"31",3,"LOC102777685"
"32",3,"hprt1"
"33",3,"LOC102778935"
"34",3,"acanb"
"35",3,"LOC102798973"
"36",3,"dnm1l"
"37",3,"alpl"
"38",3,"slc6a11b"
"39",3,"LOC102789655"
"40",3,"LOC102799557"
"41",3,"hmx3a"
"42",3,"zmiz1a"
"43",3,"tp53bp2a"
"44",3,"LOC102788397"
"45",3,"fgf13b"
"46",3,"rimkla"
"47",3,"cort"
"48",3,"acp7"
"49",3,"LOC102778290"
"50",3,"LOC102784041"
"51",3,"LOC102782217"
"52",3,"LOC102782713"
"53",3,"LOC102791954"
"54",3,"ubp1"
"55",3,"LOC102785576"
"56",3,"klf12b"
"57",3,"LOC102785965"
"58",3,"gpr156"
"59",3,"LOC102785002"
"60",3,"rgs3a"
"61",3,"prlra"
"62",3,"pde4d"
"63",3,"ndnf"
"64",3,"atg4b"
"65",3,"LOC102782131"
"66",3,"sclt1"
"67",3,"adra2c"
"68",3,"mxi1"
"69",3,"cdc42ep4b"
"70",3,"LOC102799521"
"71",3,"r3hdm4"
"72",3,"map3k5"
"73",3,"si:ch211-114n24.6"
"74",3,"hsp90aa1.2"
"75",3,"baiap2b"
"76",3,"LOC102785402"
"77",3,"LOC102795560"
"78",3,"dgkaa"
"79",3,"tnfrsf9a"
"80",3,"prlh2"
"81",3,"tent5aa"
"82",3,"sall3a"
"83",3,"sox17"
"84",3,"LOC102790474"
"85",3,"cercam"
"86",3,"LOC102791891"
"87",3,"b3glcta"
"88",3,"kcnt1"
"89",3,"nsa2"
"90",3,"LOC102788929"
"91",3,"tob1b"
"92",3,"LOC102794251"
"93",3,"LOC102793177"
"94",3,"nadk2"
"95",3,"macir"
"96",3,"edc4"
