"","Pattern","Gene"
"1",2,"sema4bb"
"2",2,"esrrga"
"3",2,"xkr5b"
"4",2,"rps6ka2"
"5",2,"scube2"
"6",2,"slc17a6b"
"7",2,"LOC102788944"
"8",2,"ahcyl2b"
"9",2,"fbxl14b"
"10",2,"LOC102780252"
"11",2,"ccnd2b"
"12",2,"gata3"
"13",2,"drd4-rs"
"14",2,"xkrx"
"15",2,"stc2a"
"16",2,"ptdss2"
"17",2,"LOC102799930"
"18",2,"LOC118453666"
"19",2,"LOC102784117"
"20",2,"LOC102791363"
"21",2,"anks1ab"
"22",2,"LOC102795913"
"23",2,"hdhd3"
"24",2,"LOC102779803"
"25",2,"LOC102797903"
"26",2,"LOC102792929"
"27",2,"LOC102784691"
"28",2,"cdk2"
"29",2,"LOC102795334"
"30",2,"mcama"
"31",2,"LOC102777709"
"32",2,"ano11"
"33",2,"slc4a11"
"34",2,"mbd3a"
"35",2,"LOC102786644"
"36",2,"LOC102792850"
"37",2,"spag1a"
"38",2,"eomesa"
"39",2,"nalcn"
"40",2,"tbr1b"
"41",2,"LOC102785594"
"42",2,"si:dkey-28e7.3"
"43",2,"LOC102787353"
"44",2,"cep112"
"45",2,"LOC102777463"
"46",2,"rhbg"
"47",2,"LOC102798627"
"48",2,"LOC102779359"
"49",2,"LOC102783311"
"50",2,"LOC102795375"
"51",2,"lingo1b"
"52",2,"LOC102784449"
"53",2,"nr4a1"
"54",2,"scrt2"
"55",2,"LOC102792576"
"56",2,"LOC102786772"
"57",2,"abhd10b"
"58",2,"LOC102792981"
"59",2,"rdh10a"
"60",2,"tfap2a"
"61",2,"dlgap1b"
"62",2,"LOC102799608"
"63",2,"LOC102795383"
"64",2,"nefma"
"65",2,"btbd11b"
"66",2,"deptor"
"67",2,"cpe"
"68",2,"ginm1"
"69",2,"LOC118454615"
"70",2,"fam167ab"
"71",2,"top3b"
"72",2,"grb2b"
"73",2,"LOC102789127"
"74",2,"cntnap1"
"75",2,"arl5c"
"76",2,"qkia"
"77",2,"LOC102790007"
"78",2,"htr1d"
"79",2,"LOC118454773"
"80",2,"vps39"
"81",2,"wdr32"
"82",2,"LOC102790593"
"83",2,"LOC102791155"
"84",2,"mecom"
"85",2,"dmrta2"
"86",2,"elavl4"
"87",2,"ankrd24"
"88",2,"khdrbs2"
"89",2,"raraa"
"90",2,"bace1"
"91",2,"wdfy1"
"92",2,"LOC102777298"
"93",2,"pde11al"
"94",2,"si:ch211-215c18.3"
"95",2,"LOC102789146"
"96",2,"LOC102786798"
"97",2,"LOC102779876"
"98",2,"atp1a3b"
"99",2,"npy8br"
"100",2,"glra4a"
"101",2,"si:ch211-236k19.2"
"102",2,"kcnip4"
"103",2,"LOC102787014"
"104",2,"appa"
"105",2,"abat"
"106",2,"ilf3b"
"107",2,"rtbdn"
"108",2,"plppr5b"
"109",2,"cabp1a"
"110",2,"klc2"
"111",2,"mfsd3"
"112",2,"itpr3"
"113",2,"LOC102799184"
"114",2,"LOC102800037"
"115",2,"LOC102783086"
"116",2,"gdf10b"
"117",2,"LOC102781238"
"118",2,"rassf4a"
"119",2,"LOC102778579"
"120",2,"dusp12"
"121",2,"scamp4"
"122",2,"si:ch211-151p13.8"
"123",2,"LOC102788324"
"124",3,"adgrg1"
"125",3,"LOC102791828"
"126",3,"LOC102799454"
"127",3,"kctd3"
"128",3,"LOC102782470"
"129",3,"trim66"
"130",3,"dock4b"
"131",3,"znf800b"
"132",3,"nudt4b"
"133",3,"LOC102792204"
"134",3,"ttll1"
"135",3,"LOC102789248"
"136",3,"LOC102793395"
"137",3,"xpot"
"138",3,"xpnpep2"
"139",3,"LOC102780923"
"140",3,"LOC118454995"
"141",3,"mapk9"
"142",3,"gabrb2a"
"143",3,"si:ch211-26b3.4"
"144",3,"hprt1"
"145",3,"LOC118456012"
"146",3,"kcna1a"
"147",3,"LOC102786710"
"148",3,"LOC102790036"
"149",3,"cttnbp2nla"
"150",3,"tbc1d20"
"151",3,"LOC102779597"
"152",3,"LOC102782189"
"153",3,"LOC102783069"
"154",3,"camkva"
"155",3,"LOC102793317"
"156",3,"nckap1"
"157",3,"mtx2"
"158",3,"abch1"
"159",3,"eef1a1a"
"160",3,"LOC102777614"
"161",3,"dync2li1"
"162",3,"LOC102781022"
"163",3,"LOC102783648"
"164",3,"kcnma1a"
"165",3,"eif4ebp2"
"166",3,"slc25a16"
"167",3,"LOC102798197"
"168",3,"mblac2"
"169",3,"arrdc3a"
"170",3,"LOC102783077"
"171",3,"LOC102787028"
"172",3,"LOC102792632"
"173",3,"rasl10a"
"174",3,"LOC102796832"
"175",3,"LOC102791285"
"176",3,"zgc:165603"
"177",3,"grm6b"
"178",3,"LOC102789555"
"179",3,"LOC102776550"
"180",3,"gabra6b"
"181",3,"LOC102789850"
"182",3,"rcc1l"
"183",3,"LOC102783945"
"184",3,"gabrd"
"185",3,"scn8aa"
"186",3,"LOC102795161"
"187",3,"syne2b"
"188",3,"tmem63c"
"189",3,"LOC102780576"
"190",3,"cacna1eb"
"191",3,"dusp22b"
"192",3,"LOC102784041"
"193",3,"cdh2"
"194",3,"LOC102791105"
"195",3,"LOC102795251"
"196",3,"LOC102776850"
"197",3,"LOC102783382"
"198",3,"LOC102788599"
"199",3,"LOC102791108"
"200",3,"ephb3a"
"201",3,"LOC102792645"
"202",3,"fam184b"
"203",3,"smim18"
"204",3,"rbfox2"
"205",3,"LOC102775703"
"206",3,"dlx6a"
"207",3,"si:ch211-215i13.3"
"208",3,"grinaa"
"209",3,"scrt1a"
"210",3,"LOC102800058"
"211",3,"klf5b"
"212",3,"mcf2lb"
"213",3,"srpx"
"214",3,"LOC102795649"
"215",3,"osbpl6"
"216",3,"dlx1a"
"217",3,"LOC102784708"
"218",3,"LOC102784710"
"219",3,"LOC102792660"
"220",3,"smad4a"
"221",3,"LOC102779636"
"222",3,"mapk10"
"223",3,"csgalnact1a"
"224",3,"ano3"
"225",3,"lrrc61"
"226",3,"fkbp4"
"227",3,"hip1rb"
"228",3,"pcsk5b"
"229",3,"lzts3b"
"230",3,"LOC118454104"
"231",3,"zgc:63587"
"232",3,"fsta"
"233",3,"tmem8b"
"234",3,"emb"
"235",3,"plpp6"
"236",3,"suco"
"237",3,"ankrd29"
"238",3,"LOC102799593"
