"","POA_Size","POA_Sex","POA_FL","POA_ML","POA_FS","POA_MS","Vd_Size","Vd_Sex","Vd_FL","Vd_ML","Vd_FS","Vd_MS","OT_Size","OT_Sex","OT_FL","OT_ML","OT_FS","OT_MS"
"hsd17b4",-0.0351321729916483,0.278520382499276,-0.992583938817583,0.682956651377802,0.34270304631928,-0.260727976005423,0.170400440636274,0.549067349835329,-0.943475078941854,0.727338200425336,-0.489130322740898,0.311372882381984,-0.208608469905516,-0.0212652986058327,-0.486426523778854,-0.000244929500509757,0.402034165394343,-0.0492924574129276
"hsd11b2",-0.0713345601985296,-0.118791889837603,0.272369252031665,-0.329112419371175,0.0048118242560748,0.161635482873826,-0.353209984772815,0.255999529933763,-0.440730874417031,-0.309449539950706,-0.22763374017557,1.00993162311306,0.353448364555002,0.0687820363306751,0.711738249248314,0.0847309510350181,-0.654172250514915,0.0475168167248845
"srd5a1",NA,NA,NA,NA,NA,NA,0.550545388537175,0.103252586590453,0.903617799175089,0.374009183218219,-0.632500926120836,-0.257756208913235,0.170709278036057,0.000161203510393784,0.649609638137455,-0.188465992039991,-0.487489334746275,0.251664130910909
"srda5a2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286815487908001,-0.309842364436567,0.235495572796795,0.325305424241406,0.3656024581664,-1.15670608267386
"srda3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0354699085630987,0.286685535472197,0.0720847019907524,-0.116135866478487,-0.55576321356941,0.823780738073105
"ar1",0.29520356623849,-0.472089553085181,1.06779158050917,-0.284237444464516,0.0337507100229241,-0.722559031246067,-0.0383697862007063,0.287258411661652,-0.68415124089472,0.2845209411463,-0.160626599960532,0.290908372348789,NA,NA,NA,NA,NA,NA
"ar2",0.300479784269037,-0.497284226282719,0.907505426093763,-0.154789447099507,0.252824435232581,-0.953943931860335,0.43106955805357,0.519951230977351,0.151461775595973,0.570873449282369,-0.98564554200835,0.452054939903994,NA,NA,NA,NA,NA,NA
"cyp19a1b",0.310878698275088,-0.27835242521403,0.76526242146888,-0.0299090941202566,-0.11577342930281,-0.609610200005729,0.180373987581377,0.419989746643014,-0.116905983210502,0.329013972977316,-0.676529065020023,0.541290778197277,NA,NA,NA,NA,NA,NA
"esr1",0.0612695749523523,-0.542985671764671,0.733526311889962,-0.442922977750855,0.533440255560937,-0.676402597116425,0.0498225662727175,0.38859462264664,-0.63269961583594,0.391083657327047,-0.36369078171365,0.385275909739432,NA,NA,NA,NA,NA,NA
"esr2a",0.273373861721929,-0.525520645115601,0.883896473001401,-0.184518096737675,0.342318365601667,-0.980190709619502,0.288117941740113,0.577957983199985,-0.261473302775477,0.562913563997909,-0.880689819212236,0.598017208802753,NA,NA,NA,NA,NA,NA
"esr2b",0.202054801311798,-0.307587994287582,0.670150330085564,-0.149016845268526,0.047554989918792,-0.519016192979657,0.242667046468477,0.38741789432369,-0.0221238849704307,0.375062512187931,-0.666919372581243,0.40389173717137,NA,NA,NA,NA,NA,NA
