"","Pattern","LF","LM","SF","SM","POA_Raw","Vd_Raw","OT_Raw","POA_Per","Vd_Per","OT_Per"
"12","pattern6",1,1,2,2,338,27,323,59.2982456140351,2.21674876847291,46.077032810271
"11","pattern5",1,1,2,1,17,86,268,2.98245614035088,7.0607553366174,38.2310984308131
"9","pattern3",1,2,1,1,106,266,23,18.5964912280702,21.8390804597701,3.28102710413695
"14","pattern8",1,2,2,2,86,22,68,15.0877192982456,1.80623973727422,9.70042796005706
"8","pattern2",1,1,1,2,4,85,3,0.701754385964912,6.97865353037767,0.427960057061341
"10","pattern4",1,2,1,2,12,705,3,2.10526315789474,57.8817733990148,0.427960057061341
"15","pattern9",1,2,1,3,NA,5,NA,NA,0.410509031198686,NA
"6","pattern14",1,3,2,3,1,NA,5,0.175438596491228,NA,0.713266761768902
"5","pattern13",1,3,2,2,1,NA,NA,0.175438596491228,NA,NA
"2","pattern10",1,1,2,3,NA,2,NA,NA,0.164203612479475,NA
"7","pattern15",1,3,2,4,NA,NA,NA,NA,NA,NA
"13","pattern7",1,2,2,1,4,20,8,0.701754385964912,1.64203612479475,1.14122681883024
"3","pattern11",1,2,2,3,1,NA,NA,0.175438596491228,NA,NA
"4","pattern12",1,3,2,1,NA,NA,NA,NA,NA,NA
"1","pattern1",1,1,1,1,13107,13655,14408,NA,NA,NA
