"","Pattern","Gene"
"1",2,"mrpl32"
"2",2,"LOC102784848"
"3",2,"plcd4b"
"4",3,"cmtm4"
"5",3,"slc5a7a"
"6",3,"LOC102780361"
"7",3,"LOC102795529"
"8",3,"spry4"
"9",3,"eif2ak3"
"10",3,"cunh14orf28"
"11",3,"LOC102799854"
"12",3,"LOC102779150"
"13",3,"tfg"
"14",3,"LOC102796557"
"15",3,"prph2a"
"16",3,"dnajb12b"
"17",3,"hgs"
"18",3,"ier2a"
"19",3,"LOC102777087"
"20",3,"fndc3a"
"21",3,"hopx"
"22",3,"fam20cb"
"23",3,"dbpa"
"24",3,"LOC102780938"
"25",3,"cblc"
"26",3,"LOC102783199"
"27",4,"apeh"
"28",4,"dhx9"
"29",4,"LOC102779919"
"30",5,"LOC102786692"
"31",5,"gnb5b"
"32",5,"LOC102779778"
"33",5,"nfatc3a"
"34",5,"kif26ba"
"35",5,"copb1"
"36",5,"atic"
"37",5,"LOC102790984"
"38",5,"brd1a"
"39",5,"yaf2"
"40",5,"ucn3l"
"41",5,"ssbp1"
"42",5,"zgc:194209"
"43",5,"LOC102797395"
"44",5,"mbnl3"
"45",5,"rtn4rl2b"
"46",5,"LOC102778180"
"47",5,"LOC102780923"
"48",5,"LOC118454995"
"49",5,"LOC102793513"
"50",5,"tomm5"
"51",5,"si:ch211-203d1.3"
"52",5,"clk4a"
"53",5,"ogt.1"
"54",5,"slc25a46"
"55",5,"cfap53"
"56",5,"LOC102790993"
"57",5,"lrrk2"
"58",5,"plxnb2b"
"59",5,"LOC102785066"
"60",5,"tgfa"
"61",5,"rbm5"
"62",5,"skib"
"63",5,"trim62.1"
"64",5,"LOC102780653"
"65",5,"LOC102791570"
"66",5,"akt3a"
"67",5,"zbtb18"
"68",5,"zranb1b"
"69",5,"pax2a"
"70",5,"cemip2"
"71",5,"ppfia4"
"72",5,"camk1b"
"73",5,"myorg"
"74",5,"zgc:92107"
"75",5,"gabra6b"
"76",5,"sh3pxd2b"
"77",5,"csde1"
"78",5,"plekhm2"
"79",5,"fam217b"
"80",5,"LOC118453873"
"81",5,"LOC102799284"
"82",5,"LOC102793035"
"83",5,"zdhhc22"
"84",5,"plk4"
"85",5,"disp2"
"86",5,"srsf11"
"87",5,"plk3"
"88",5,"LOC102781149"
"89",5,"LOC102790145"
"90",5,"LOC102777346"
"91",5,"LOC102798515"
"92",5,"hepacam2"
"93",5,"poc1bl"
"94",5,"LOC102795450"
"95",5,"clk2a"
"96",5,"neurod1"
"97",5,"zic2a"
"98",5,"zic5"
"99",5,"zgc:162944"
"100",5,"sox1a"
"101",5,"mitd1"
"102",5,"LOC102787853"
"103",5,"LOC102780205"
"104",5,"LOC102794322"
"105",5,"nme9"
"106",5,"march4"
"107",5,"LOC102781348"
"108",5,"fam163ba"
"109",5,"exd3"
"110",5,"rhof"
"111",5,"LOC102784710"
"112",5,"sgsm1b"
"113",5,"LOC102798911"
"114",5,"brinp1"
"115",5,"klf4"
"116",5,"smad7"
"117",5,"LOC102788428"
"118",5,"csgalnact1a"
"119",5,"eps8l2"
"120",5,"tmem266"
"121",5,"shank3a"
"122",5,"LOC102789791"
"123",5,"nim1k"
"124",5,"ndnf"
"125",5,"chst7"
"126",5,"zbtb7a"
"127",5,"ttyh2"
"128",5,"LOC102779355"
"129",5,"adrb1"
"130",5,"LOC102782732"
"131",5,"atad5a"
"132",5,"LOC102777365"
"133",5,"LOC102792270"
"134",5,"ptprfa"
"135",5,"LOC102776977"
"136",5,"ap1m1"
"137",5,"st6galnac3"
"138",5,"sdr39u1"
"139",5,"dusp10"
"140",5,"tmem151ba"
"141",5,"prox1a"
"142",5,"aox6"
"143",5,"ahr1b"
"144",5,"gpd2"
"145",5,"kif26bb"
"146",5,"atad2b"
"147",5,"rnf213b"
"148",5,"cx43.4"
"149",5,"LOC102798249"
"150",5,"ctdsp2"
"151",5,"kcng1"
"152",5,"LOC102790283"
"153",5,"LOC102793667"
"154",5,"zgc:91910"
"155",5,"pign"
"156",5,"LOC102790386"
"157",5,"LOC102791239"
"158",5,"rbm33a"
"159",5,"en2a"
"160",5,"zic4"
"161",5,"zic1"
"162",5,"nck1b"
"163",5,"pkib"
"164",5,"hivep3a"
"165",5,"arhgap35a"
"166",5,"fxyd6"
"167",5,"LOC102779849"
"168",5,"en1b"
"169",5,"LOC102776987"
"170",5,"opn7b"
"171",5,"LOC102779472"
"172",5,"trpc6b"
"173",5,"bckdha"
"174",5,"dab2"
"175",5,"LOC118454656"
"176",5,"pkd1b"
"177",5,"fosab"
"178",5,"si:dkey-71h2.2"
"179",5,"LOC102781766"
"180",5,"aars1"
"181",5,"fat2"
"182",5,"rasgef1ba"
"183",5,"wbp2nl"
"184",5,"zgc:162544"
"185",5,"ccdc97"
"186",5,"si:ch211-278a6.1"
"187",5,"LOC102791336"
"188",5,"ppp1r1b"
"189",5,"LOC102793378"
"190",5,"qkia"
"191",5,"LOC102787984"
"192",5,"LOC102792403"
"193",5,"atr"
"194",5,"ggh"
"195",5,"LOC102792008"
"196",5,"cuedc1b"
"197",5,"pipox"
"198",5,"p4hb"
"199",5,"sacs"
"200",5,"brwd1"
"201",5,"grm5a"
"202",5,"uspl1"
"203",5,"slc1a6"
"204",5,"LOC102787890"
"205",5,"tiam2a"
"206",5,"LOC102779098"
"207",5,"prr18"
"208",5,"rsph10b"
"209",5,"si:ch73-103b11.2"
"210",5,"LOC102790097"
"211",5,"epb41l4b"
"212",5,"lrrc45"
"213",5,"fmn2b"
"214",5,"grin2ca"
"215",5,"LOC102781004"
"216",5,"klhl13"
"217",5,"wdr59"
"218",5,"sepsecs"
"219",5,"dhrsx"
"220",5,"LOC102792412"
"221",5,"cbln12"
"222",5,"cunh14orf119"
"223",5,"pou2f2a"
"224",5,"LOC102786006"
"225",5,"LOC102793208"
"226",5,"nexn"
"227",5,"LOC102778546"
