"","Pattern","Gene"
"1",2,"LOC102785594"
"2",2,"plod2"
"3",2,"nudcd3"
"4",2,"thbs3a"
"5",3,"ntrk3b"
"6",3,"adcy7"
"7",3,"mafa"
"8",3,"nudt4b"
"9",3,"arfgap3"
"10",3,"ptn"
"11",3,"LOC102783058"
"12",3,"LOC102777685"
"13",3,"hprt1"
"14",3,"LOC102778935"
"15",3,"acanb"
"16",3,"LOC102798973"
"17",3,"alpl"
"18",3,"LOC102799557"
"19",3,"hmx3a"
"20",3,"zmiz1a"
"21",3,"tp53bp2a"
"22",3,"LOC102788397"
"23",3,"fgf13b"
"24",3,"rimkla"
"25",3,"cort"
"26",3,"acp7"
"27",3,"LOC102778290"
"28",3,"LOC102784041"
"29",3,"LOC102782217"
"30",3,"LOC102791954"
"31",3,"ubp1"
"32",3,"LOC102785576"
"33",3,"klf12b"
"34",3,"LOC102785965"
"35",3,"LOC102785002"
"36",3,"rgs3a"
"37",3,"prlra"
"38",3,"ndnf"
"39",3,"atg4b"
"40",3,"LOC102782131"
"41",3,"mxi1"
"42",3,"r3hdm4"
"43",3,"LOC102797740"
"44",3,"si:ch211-114n24.6"
"45",3,"hsp90aa1.2"
"46",3,"baiap2b"
"47",3,"LOC102785402"
"48",3,"LOC102795560"
"49",3,"dgkaa"
"50",3,"tnfrsf9a"
"51",3,"prlh2"
"52",3,"tent5aa"
"53",3,"sall3a"
"54",3,"LOC102790474"
"55",3,"LOC102791891"
"56",3,"b3glcta"
"57",3,"kcnt1"
"58",3,"LOC102788929"
"59",3,"tob1b"
"60",3,"LOC102782749"
"61",3,"LOC102780993"
"62",3,"LOC102794724"
"63",3,"pde4a"
"64",3,"LOC102795576"
"65",3,"stxbp6"
"66",3,"srsf5a"
"67",3,"elovl6"
"68",3,"fzd5"
"69",3,"LOC102779196"
"70",3,"kcnq5b"
"71",3,"p4hb"
"72",3,"LOC102785907"
"73",3,"LOC102797566"
"74",3,"stard10"
"75",3,"pitpnab"
"76",3,"si:dkey-156n14.3"
"77",3,"cbarpb"
"78",3,"LOC102782858"
"79",3,"si:ch211-51h4.2"
"80",3,"LOC102781004"
"81",3,"LOC102783629"
"82",3,"LOC102777884"
"83",3,"shisa3"
"84",3,"xbp1"
"85",3,"LOC102791477"
"86",3,"LOC102795032"
"87",3,"LOC102797402"
"88",3,"LOC102788564"
"89",3,"adamtsl4"
"90",3,"kcnn3"
"91",3,"pbxip1b"
"92",3,"palmdb"
"93",3,"phlda1"
"94",3,"etv5a"
"95",3,"kpna6"
"96",3,"xpo1a"
"97",3,"mfsd8"
"98",3,"LOC102799483"
"99",3,"LOC102780742"
"100",3,"ncoa4"
"101",3,"myt1a"
"102",3,"rsrp1"
"103",3,"LOC102781327"
"104",3,"b3gat2"
"105",3,"LOC102783569"
"106",3,"LOC102780293"
"107",3,"LOC102793046"
"108",3,"LOC102786045"
"109",3,"ppm1nb"
"110",3,"LOC102786162"
"111",4,"arrdc3a"
"112",4,"nab2"
"113",4,"LOC102777346"
"114",4,"ddah2"
"115",4,"LOC102782818"
"116",4,"LOC102784710"
"117",4,"dusp5"
"118",4,"LOC102785595"
"119",4,"uncx"
"120",4,"aldh1l1"
"121",4,"LOC102790599"
"122",4,"timm50"
"123",5,"tle3a"
"124",5,"fbxl5"
"125",5,"slc25a23a"
"126",5,"mecr"
"127",5,"LOC102791987"
"128",5,"slc25a47a"
"129",5,"ifit12"
"130",5,"insm1a"
"131",5,"scube3"
"132",5,"cdv3"
"133",5,"trh"
"134",5,"agpat2"
"135",5,"gabra3"
"136",5,"dcaf7"
"137",5,"cab39l"
"138",5,"LOC102779233"
"139",5,"LOC102790051"
"140",6,"LOC102775933"
"141",6,"pnoca"
"142",6,"LOC102797283"
"143",6,"LOC102776139"
"144",6,"arl6"
"145",6,"anks1b"
"146",6,"LOC102778455"
"147",6,"LOC102789248"
"148",6,"kcna1b"
"149",6,"ccdc85b"
"150",6,"si:ch73-233f7.1"
"151",6,"pdgfrb"
"152",6,"LOC102787199"
"153",6,"LOC102779021"
"154",6,"gpc3"
"155",6,"ppp3cb"
"156",6,"LOC118454961"
"157",6,"myot"
"158",6,"LOC102785349"
"159",6,"mych"
"160",6,"LOC102792624"
"161",6,"LOC118453685"
"162",6,"grm2b"
"163",6,"syn2b"
"164",6,"LOC102797896"
"165",6,"atp2b2"
"166",6,"rereb"
"167",6,"LOC102788387"
"168",6,"bsnb"
"169",6,"tmcc2"
"170",6,"kcnh1a"
"171",6,"LOC102785263"
"172",6,"p4ha1b"
"173",6,"rgs7a"
"174",6,"pgbd5"
"175",6,"LOC102780078"
"176",6,"LOC102792632"
"177",6,"pik3ip1"
"178",6,"LOC102789661"
"179",6,"cdk4"
"180",6,"npepl1"
"181",6,"LOC102785360"
"182",6,"lrrn1"
"183",6,"LOC102787924"
"184",6,"LOC102789555"
"185",6,"sept8a"
"186",6,"gabra6b"
"187",6,"kcnj6"
"188",6,"LOC102789850"
"189",6,"LOC102795048"
"190",6,"gabrd"
"191",6,"scn8aa"
"192",6,"stat6"
"193",6,"cacnb3b"
"194",6,"arf3a"
"195",6,"kcna2b"
"196",6,"LOC102799284"
"197",6,"LOC102779808"
"198",6,"kcnh5b"
"199",6,"rpia"
"200",6,"LOC102799574"
"201",6,"LOC102789277"
"202",6,"LOC102784615"
"203",6,"arf1"
"204",6,"LOC102786734"
