"","Pattern","Gene"
"1",2,"sema4bb"
"2",2,"xkr5b"
"3",2,"slc17a6b"
"4",2,"ahcyl2b"
"5",2,"fbxl14b"
"6",2,"LOC102780252"
"7",2,"ccnd2b"
"8",2,"gata3"
"9",2,"drd4-rs"
"10",2,"xkrx"
"11",2,"stc2a"
"12",2,"LOC118453666"
"13",2,"LOC102784117"
"14",2,"LOC102791363"
"15",2,"anks1ab"
"16",2,"hdhd3"
"17",2,"LOC102779803"
"18",2,"LOC102784691"
"19",2,"mcama"
"20",2,"ano11"
"21",2,"slc4a11"
"22",2,"LOC102786644"
"23",2,"LOC102792850"
"24",2,"spag1a"
"25",2,"eomesa"
"26",2,"tbr1b"
"27",2,"LOC102785594"
"28",2,"si:dkey-28e7.3"
"29",2,"LOC102787353"
"30",2,"cep112"
"31",2,"LOC102777463"
"32",2,"rhbg"
"33",2,"LOC102798627"
"34",2,"lingo1b"
"35",2,"LOC102784449"
"36",2,"nr4a1"
"37",2,"scrt2"
"38",2,"LOC102792576"
"39",2,"abhd10b"
"40",2,"LOC102792981"
"41",2,"tfap2a"
"42",2,"LOC102799608"
"43",2,"LOC102795383"
"44",2,"nefma"
"45",2,"btbd11b"
"46",2,"deptor"
"47",2,"cpe"
"48",2,"ginm1"
"49",2,"LOC118454615"
"50",2,"fam167ab"
"51",2,"grb2b"
"52",2,"LOC102789127"
"53",2,"qkia"
"54",2,"LOC102790007"
"55",2,"htr1d"
"56",2,"LOC102790593"
"57",2,"mecom"
"58",2,"dmrta2"
"59",2,"elavl4"
"60",2,"ankrd24"
"61",2,"raraa"
"62",2,"bace1"
"63",2,"LOC102777298"
"64",2,"pde11al"
"65",2,"LOC102786798"
"66",2,"LOC102779876"
"67",2,"atp1a3b"
"68",2,"glra4a"
"69",2,"si:ch211-236k19.2"
"70",2,"kcnip4"
"71",2,"LOC102787014"
"72",2,"appa"
"73",2,"ilf3b"
"74",2,"rtbdn"
"75",2,"plppr5b"
"76",2,"cabp1a"
"77",2,"klc2"
"78",2,"mfsd3"
"79",2,"LOC102799184"
"80",2,"LOC102800037"
"81",2,"LOC102783086"
"82",2,"LOC118455582"
"83",2,"LOC102781238"
"84",2,"rassf4a"
"85",2,"si:ch211-151p13.8"
"86",3,"adgrg1"
"87",3,"LOC102791828"
"88",3,"LOC102799454"
"89",3,"LOC102782470"
"90",3,"dock4b"
"91",3,"znf800b"
"92",3,"nudt4b"
"93",3,"LOC102792204"
"94",3,"LOC102789248"
"95",3,"LOC102793395"
